name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Giannis Antetokounmpo,"['PF', 'SF']",57,30.9,.547,.633,1.5,13.7,5.8,1.57,1.0,1.0,3.7,29.6
Nikola Jokic,['C'],63,32.4,.530,.816,1.1,10.2,6.8,2.21,1.2,0.7,3.1,20.5
Luka Doncic,['PG'],52,33.1,.460,.755,2.8,9.4,8.7,2.06,1.1,0.2,4.2,28.5
James Harden,"['SG', 'PG']",60,36.7,.433,.864,4.4,6.4,7.4,1.65,1.7,0.9,4.5,34.3
Karl-Anthony Towns,['C'],35,33.9,.508,.796,3.3,10.8,4.4,1.39,0.9,1.2,3.1,26.5
Anthony Davis,"['PF', 'C']",54,34.3,.512,.845,1.1,9.4,3.1,1.27,1.5,2.5,2.5,26.7
Damian Lillard,['PG'],57,36.8,.457,.887,3.9,4.3,7.8,2.69,1.0,0.3,2.9,29.0
LeBron James,"['SF', 'PF']",59,34.9,.497,.704,2.2,7.8,10.6,2.66,1.2,0.5,4.0,25.7
Kevin Durant,"['SF', 'PF']",--,--,--,--,--,--,--,--,--,--,--,--
Stephen Curry,['PG'],5,27.8,.402,1.000,2.4,5.2,6.6,2.06,1.0,0.4,3.2,20.8
Trae Young,['PG'],58,35.2,.436,.863,3.3,4.3,9.2,1.92,1.1,0.1,4.8,29.4
Ben Simmons,['PG'],54,35.8,.585,.627,0.0,7.8,8.2,2.30,2.1,0.6,3.6,16.7
Jayson Tatum,"['PF', 'SF']",58,34.7,.447,.806,2.8,7.1,3.0,1.30,1.4,0.9,2.3,23.4
Russell Westbrook,['PG'],52,35.9,.471,.776,1.0,8.1,7.0,1.58,1.6,0.3,4.4,27.5
Joel Embiid,['C'],43,30.3,.472,.814,1.3,11.8,3.1,1.02,0.9,1.3,3.0,23.3
Devin Booker,"['SG', 'PG']",61,36.1,.489,.917,2.0,4.1,6.5,1.66,0.7,0.3,3.9,26.1
Bradley Beal,['SG'],56,36.0,.455,.842,3.0,4.3,6.1,1.80,1.2,0.4,3.4,30.4
Pascal Siakam,['PF'],52,35.5,.458,.795,2.2,7.5,3.5,1.44,1.0,0.9,2.4,23.6
Shai Gilgeous-Alexander,"['SG', 'PG']",63,35.2,.473,.801,1.2,6.1,3.3,1.78,1.1,0.7,1.9,19.3
Jimmy Butler,"['SF', 'SG']",54,34.2,.454,.833,0.5,6.6,6.1,2.81,1.7,0.5,2.2,20.2
Andre Drummond,['C'],56,33.0,.532,.575,0.1,15.3,2.7,0.76,1.9,1.6,3.5,17.7
Kyrie Irving,['PG'],20,33.0,.478,.922,2.8,5.2,6.4,2.46,1.4,0.5,2.6,27.4
Kawhi Leonard,['SF'],50,32.5,.466,.888,2.1,7.4,5.0,1.78,1.8,0.6,2.8,26.9
Jrue Holiday,"['PG', 'SG']",55,34.9,.452,.700,2.1,4.9,6.9,2.39,1.7,0.8,2.9,19.6
Zion Williamson,['PF'],19,29.7,.589,.645,0.3,6.8,2.2,0.80,0.8,0.5,2.7,23.6
Paul George,['SF'],41,29.2,.433,.881,3.2,5.9,3.8,1.39,1.3,0.5,2.8,21.1
Brandon Ingram,"['SF', 'PF']",56,34.3,.466,.858,2.4,6.3,4.3,1.39,1.0,0.7,3.1,24.3
Deandre Ayton,['C'],30,33.2,.548,.769,0.0,12.0,1.9,0.80,0.7,1.7,2.4,19.0
Ja Morant,['PG'],58,29.9,.492,.770,0.9,3.5,7.0,2.17,0.9,0.3,3.2,17.6
Nikola Vucevic,['C'],53,32.6,.468,.781,1.5,11.0,3.7,2.57,0.9,0.9,1.4,19.5
Bam Adebayo,"['C', 'PF']",64,34.4,.565,.691,0.0,10.6,5.0,1.77,1.2,1.3,2.8,16.1
Donovan Mitchell,['SG'],62,34.3,.456,.859,2.5,4.4,4.2,1.57,1.0,0.2,2.7,24.4
Tobias Harris,['SF'],64,34.6,.474,.802,1.8,6.8,3.1,2.06,0.8,0.5,1.5,19.4
